time,balance,unrealizedPL,pl,benchmark
15/04/24 18:04,96650.8528,10.8595,-3154.4483,1.06575
15/04/24 18:05,96650.8528,2.4213,-3154.4483,1.06574
15/04/24 18:05,96650.8528,24.6284,-3154.4483,1.06582
15/04/24 18:05,96650.8528,26.4193,-3154.4483,1.06583
15/04/24 18:05,96650.8528,21.8762,-3154.4483,1.06582
15/04/24 18:05,96650.8528,33.7985,-3154.4483,1.06588
15/04/24 18:05,96650.8528,40.6189,-3154.4483,1.06593
15/04/24 18:06,96650.8528,27.0315,-3154.4483,1.06588
15/04/24 18:06,96650.8528,31.1187,-3154.4483,1.0659
15/04/24 18:06,96650.8528,33.7974,-3154.4483,1.06589
15/04/24 18:06,96650.8528,9.7608,-3154.4483,1.06579
15/04/24 18:06,96650.8528,3.4388,-3154.4483,1.06579
15/04/24 18:07,96650.8528,3.3778,-3154.4483,1.06579
15/04/24 18:07,96650.8528,10.1445,-3154.4483,1.06579
15/04/24 18:07,96650.8528,10.5896,-3154.4483,1.06579
15/04/24 18:07,96650.8528,28.2383,-3154.4483,1.06583
15/04/24 18:07,96650.8528,34.561,-3154.4483,1.06583
15/04/24 18:07,96650.8528,30.5019,-3154.4483,1.06583
15/04/24 18:08,96650.8528,33.1561,-3154.4483,1.06579
15/04/24 18:08,96650.8528,26.4018,-3154.4483,1.0658
15/04/24 18:08,96650.8528,24.1464,-3154.4483,1.06579
15/04/24 18:08,96650.8528,17.782,-3154.4483,1.06576
15/04/24 18:08,96650.8528,41.8239,-3154.4483,1.06585
15/04/24 18:08,96650.8528,38.6724,-3154.4483,1.06585
15/04/24 18:09,96650.8528,34.6118,-3154.4483,1.06585
15/04/24 18:09,96650.8528,23.6615,-3154.4483,1.06579
15/04/24 18:10,96650.8528,29.5069,-3154.4483,1.06583
15/04/24 18:10,96650.8528,73.4483,-3154.4483,1.06589
15/04/24 18:10,96650.8528,73.5261,-3154.4483,1.06594
15/04/24 18:11,96650.8528,83.0284,-3154.4483,1.06595
15/04/24 18:11,96650.8528,69.4614,-3154.4483,1.06593
15/04/24 18:11,96650.8528,72.1537,-3154.4483,1.06593
15/04/24 18:11,96650.8528,72.1537,-3154.4483,1.06593
15/04/24 18:11,96650.8528,73.0634,-3154.4483,1.06593
15/04/24 18:11,96650.8528,70.357,-3154.4483,1.06593
